date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:40	11378/11378	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/the-sample/onomastic-verse	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbuse53c5.html	(from https://sites.google.com/site/deansbook/the-sample)
14:52:41	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.133.delayed	(from https://sites.google.com/site/deansbook/the-bdl-corpus)
14:52:41	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.1346fb5.delayed	(from https://sites.google.com/site/deansbook/the-bdl-corpus)
14:52:41	11380/11380	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/the-sample/natural-description	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbuseec0c.html	(from https://sites.google.com/site/deansbook/the-sample)
14:52:42	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.136.delayed	(from https://sites.google.com/site/deansbook/the-bdl-corpus)
14:52:42	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.1376fb5.delayed	(from https://sites.google.com/site/deansbook/the-bdl-corpus)
14:52:42	11380/11380	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/the-bdl-corpus/bdl-and-duanaire-finn	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbuse8fdd.html	(from https://sites.google.com/site/deansbook/the-bdl-corpus)
14:52:43	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.139.delayed	(from https://sites.google.com/site/deansbook/the-bdl-corpus)
14:52:43	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.13a6fb5.delayed	(from https://sites.google.com/site/deansbook/the-bdl-corpus)
14:52:43	11380/11380	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/the-bdl-corpus/bdl-and-later-irish-collections	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbuse5cd9.html	(from https://sites.google.com/site/deansbook/the-bdl-corpus)
