NS049024,Tha m' inntinn trom 's cha tog mi fonn,,,Tha m' inntinn trom 's cha tog mi fonn,'S ann á Lìte dh’fhalbh an long,"lament , Sailing","Sailing , Voyage , Crew",Two line verse / Three line chorus,Scotland,,,,,,,,,Sound Recording,Angus MacDonald,Upper South River,25 May 1953,John Lorne Campbell,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/50219?l=en ,"In this song the bard tells about a sea journey that he undertook. The vessel sailed from Leith and they had over one hundred and fifty people onboard. However, only three of them returned home to port. Many a wife was left without a husband and many a sister was left without a brother because of the tragedy. The bard is very sad and he cannot even raise a tune.",,,
NS049025,O Till a Leannain,,,"O till, a leannain, o till, o till","C' àite bheil comeas dom luaidh, dom luaidh?","Love , Praise",Woman,Four line verse / Four line chorus,Scotland,Eòghainn,MacColla,"Bàrd Loch Fìne , Clàrsair nam Beann , Bàrd Chanada , The Lochfynshire Bard",1808 - 1898,Male,"Kenmore , Scotland ; Toronto , Canada",,,Sound Recording,Mount St. Bernard Gaelic Choir,Antigonish,1953,John Lorne Campbell,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/62320?l=en ,"In this love song the bard pleads with Màili, the girl he loves, to return from the Lowlands. His heart is so miserable that he will die. There is no girl like her. He describes her beautiful fair skin and rosy cheeks. He would prefer to be in his grave with her than be with another girl.",,,
NS049026,Ille dhuinn a' chuailein dualaich,,,Hoireann ó ra ì ù a,'Ille dhuinn a' chuailein dualaich,"Milling , Sailing","Sailing , Ship , Man , Brave",Two line verse / Three line chorus,Scotland,,,,,,,,,Sound Recording,John Shaw,Indian Brook,25 August 1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103737?l=en ,"In this waulking song a woman addresses a young man with curly, brown hair. She has heard he is being betrothed to another woman.

This is followed by a section in which the composer describes seeing a boat, which should have a certain MacLeod at the helm.",,,
NS049027,"Bheir mi horo, hùg as hoireann",,,"Bheir mi horo, hùg as hoireann",,Milling,,Two line verse / Three line chorus,Scotland,,,,,Male,,,,Sound Recording,John Shaw,Indian Brook,25 August 1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103740?l=en,A waulking song with references to waulking the tweed at the beginning. Themes of lost love and loss of possessions are found in the rest of the song. It seems to have been composed by a man.,,,
NS049028,Hù a hó tha mi fo lionn-dubh,,,Hù a hó tha mi fo lionn-dubh,Tha recruits a' falbh a-màireach,"Milling , Sailing","Soldier , Sailing , England , West Indies , Woman",Two line verse / Three line chorus,Scotland,,,,,,,,,Sound Recording,John Shaw,Indian Brook,25 August 1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103742?l=en ,In this waulking song a girl states that the man she loves has been recruited into the army and is about to set off to India. She wishes she could buy him out of the army. His rings are on her fingers.,,,
NS049029,"Gruagach dhonn, na biodh ort cùram",,,"Far a la la, o ra hù a",Gruagach dhonn na biodh ort cùram,"Milling , Sailing","Love , Sailing , Music , Instrument , Fiddle , Bagpipes ",One line verse / Three line chorus,Scotland,,,,,,,,,Sound Recording,John Shaw,Indian Brook,25 August 1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103766?l=en ,"A waulking song with love themes. A girl states that the man she loves is abroad, where there are sugar plantations. She would welcome him back.",,,
NS049030,"Màili dhonn, bhòidheach dhonn",,,"Màili dhonn, bhòidheach dhonn",Gura mise tha gu tinn,"Milling , Sailing","Sailing , Ship",Four line verse / Four line chorus,Scotland,,,,,,,,,Sound Recording,Murdock Dan MacLean and John Shaw,"Tarbot , Indian Brook",25 August 1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103771?l=en ,This is a waulking song in which a boat called Màili Dhonn is praised. Some of the places visited by the boat are named.,,,
NS049031,Gur mise a tha trom airsneulach sa mhadainn 's i ag éirigh,,,"Faill ill o, faill ill o",Gur mise a tha trom airsneulach sa mhadainn 's i ag éirigh,"Milling , Sailing","Sailling , Ship , Clan Donald",Four line verse / Four line chorus,Scotland,,,,,,,,,Sound Recording,Murdock Dan MacLean and John Shaw,"Tarbot , Indian Brook",25 August 1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103772?l=en ,"The composer would prefer to have a favourable west wind for the boat bringing the ruler of the land. The song describes life in the castle in Sleat, where there is fiddling, piping and dancing. Various supportive clan chiefs are named.","See: An t-Òranaiche, ed. Trueman Matheson (2004), p. 257. ",,
NS049032,Gura mise a tha fo chùram anns a' mhadainn an àm dùsgaidh,,,O hu a ro hu a,Gur e mise …,"Love , Local events and characters","Love , Woman",Four line verse / Three line chorus,Scotland,,,,,,,,,Sound Recording,John Shaw and Murdock Dan MacLean,"Indian Brook , Tarbot",25 August 1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103778?l=en ,A song by a man who has married an older woman. He advises young men not to desert their sweethearts to marry a wealthy woman.,,,
NS049033,Ma bhuannaich thu nighean ghrinn,,,Ma bhuannaich thu nighean ghrinn,Nuair ràinig sinn an t-òban,"Milling , Sailing","Sailing , Ship, Praise",Two line verse / Three line chorus,Scotland,,,,,,,,,Sound Recording,Murdock Dan MacLean and John Shaw,"Tarbot , Indian Brook",25 August 1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103776?l=en ,A waulking song with a sailing theme. It praises a fast sailing ship.,,,
NS049034,Cha bhi mi buan 's tu a bhith bhuam,,,Cha bhi mi buan 's tu a bhith bhuam,Gur e mise fo mhulad,"Milling , Love","Man , Sailing",Two line verse / Three line chorus,Scotland,,,,,,,,,Sound Recording,Murdock Dan MacLean and John Shaw,"Tarbot , Indian Brook",25 August 1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103779?l=en ,"A waulking song in the form of a woman's love song. She will not survive if she is parted from her beloved, a young MacLeod, whom she has loved since she was young. She wishes she could see his boat coming. His long voyages have made her sad.",,,
NS049035,A Mhàiri bhòidheach 's a Mhàiri ghaolach,,,A Mhàiri bhòidheach 's a Mhàiri ghaolach,A Mhàiri bhòidheach gur mòr mo ghaol ort,Love,Woman,Four line verse / Four line chorus,Scotland,Alexander,Stewart,,1764-1821,Male,,North Uist,,Sound Recording,Murdock Dan MacLean and John Shaw,"Tarbot , Indian Brook",25 August 1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103780?l=en ,A man's love song for a beautiful girl called Mary. He is sad as he knows that they cannot be together.,"This song was composed by Alexander Stewart, who was at one time a schoolmaster in North Uist. He composed it for Miss Maria MacQueen, daughter of the Rev. Allan MacQueen, a minister in North Uist.

","See: A' Chòisir-chiùil: The St. Columba Collection of Gaelic Songs, p. 85; The Uist Collection: The Poems and Songs of John MacCodrum, Archibald MacDonald, and some of the minor Uist bards, ed. Rev. A. MacDonald (1894), p. 216; Sàr Obair nam Bàrd Gaelach, ed. J. MacKenzie (1907), p. 414. ",
NS049036,"Mo chridhe trom, 's duilich leam",,,"Mo chridhe trom, 's duilich leam",Nuair a chunnaic mise an toiseach thu,Love,Woman,Four line verse / Four line chorus,Scotland,,,,,,,,,Sound Recording,Murdock Dan MacLean and John Shaw,"Tarbot , Indian Brook",25 August 1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103782?l=en,"A man's love song for a girl who he first saw when she was fifteen. She has had her eye caught by another man, however.",,,
NS049037,Òganaich an òr-fhuilt bhuidhe,,,Òganaich an òr-fhuilt bhuidhe,Nuair a dhìreadh tu na stùcan,"Love , Lament","Woman , Gamekeeper",Four line verse / Four line chorus,Scotland,Fionnghal,NicEachairn,Fionnghal a' Ghobhainn,,Female,"Calagaraidh , Mull , Sgorrabreac , Isle of Skye",Tiree,,Sound Recording,Murdock Dan MacLean and John Shaw,"Tarbot , Indian Brook",25 August 1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103783?l=en ,"A love song to the young man of the golden-blonde hair. He is praised for his hunting skills. He is far away and she mourns his absence. Others say that he has turned his back on her but she does not believe it. Though she would be clasped in irons, night and day, she will never forget the man's love.",,"See: Na Bàird Thirisdeach, ed. H. Cameron, p. 236; An t-Òranaiche, ed. Rev. A Sinclair (2004), p. 85. ",
NS049038,Eirich is cuir umad agus tiugainn leam,Gaol nan Cruinneag,,Eirich is cuir umad agus tiugainn leam,Nuair philleas rinn an samhradh 's a thig am blàths,Love,Woman,Four line verse / Four line chorus,Scotland,Iain,Chamshron,Bàrd Phàislig,1865 - 1951,Male,"Paisley, Scotland",,,Sound Recording,Murdock Dan MacLean and John Shaw,"Tarbot , Indian Brook",25 August 1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103784?l=en ,"A man promises to take the girl he loves away from the smoke of the Lowlands, when summer comes. When he is sad, she makes him feel happy. He promises to provide for her in the Highlands.

A verse is repeated at the end to illustrate a slightly different style of singing the tune.",,,
NS049039,Tha an latha an-diugh fuar,,,O ho hì hiùraibh o,Tha an latha an-diugh fuar,"Milling , Sailing","Ship , Tragedy",One line verse / Three line chorus,Scotland,,,,,,,,,Sound Recording,Margaret MacLean,Boisdale,1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103805?l=en ,"A waulking song in which the composer tells of the death of the man she loved, when his boat sank. The sorrow of his mother is described.

A general conversation about waulking follows the song.","The contributor learned this song from her grandmother, Mary MacKinnon from Barra.",,
NS049040,Mis’ a tha fo mhulad on sguir mi dhen òl,,,Mis’ a tha fo mhulad on sguir mi dhen òl,Tha sagart na clèire cur soidhneadh an cèill dhuinn,"Drinking , Humorous","Alcohol , Drinking , Temptation",Four line verse / Three line chorus,Nova Scotia,Donald,Gillis,Dòmhnall Dubh,,Male,Rear Beaver Cove,Cape Breton,,Sound Recording,Margaret MacLean,Boisdale,1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/103807?l=en ,The composer of this humorous song is unhappy since he stopped drinking. There is temptation all around.,The contributor learned this song in Cape Breton.,,
